Moisture,Humidity,Temperature,Motor
4,73,30.1,1
0,73,30.1,1
0,73,30,1
0,71,29.9,1
71,68,28.8,0
71,68,27.9,0
70,62,26.9,0
70,67,26.3,0
71,66,25.8,0
98,64,25.4,0
89,69,25.1,0
85,74,25.1,0
15,74,25,1
0,77,25,1
100,78,25,0
0,79,24.9,1
100,80,24.8,0
100,78,24.5,0
86,80,24.8,0
80,80,25,0
78,80,25.4,0
99,81,25.8,0
95,83,26.2,0
94,82,26.6,0
93,83,27,0
92,85,27.3,0
87,83,27.6,0
100,85,27.9,0
100,84,28.2,0
97,85,28.5,0
0,84,28.7,1
88,83,28.9,0
81,80,29,0
100,80,29.1,0
100,80,29.3,0
91,80,29.4,0
77,79,29.5,0
55,78,29.5,0
100,78,29.6,0
95,76,29.7,0
86,77,29.7,0
92,74,29.9,0
91,75,29.9,0
91,74,29.9,0
91,74,29.9,0
91,74,29.9,0
92,74,29.9,0
100,74,29.9,0
100,74,29.9,0
86,74,29.9,0
0,74,30,1
80,74,30,0
0,61,28.1,1
0,58,28.1,1
0,57,28.2,1
0,56,28.2,1
0,55,28.1,1
0,55,28.1,1
0,55,28,1
0,55,28,1
0,55,28,1
0,55,28,1
0,56,28,1
0,56,28,1
0,56,27.9,1
0,57,27.9,1
0,57,27.9,1
0,58,27.9,1
0,58,27.8,1
0,57,27.7,1
0,58,27.6,1
0,60,27.5,1
0,60,27.4,1
0,60,27.4,1
0,61,27.4,1
0,61,27.4,1
0,61,27.4,1
0,61,27.4,1
0,61,27.4,1
0,60,27.4,1
0,60,27.4,1
0,60,27.4,1
0,60,27.3,1
0,60,27.2,1
0,61,27.2,1
0,61,27.2,1
0,60,27.2,1
0,61,27.2,1
0,63,27.3,1
0,62,27.3,1
0,61,27.2,1
0,61,27.2,1
0,61,27.1,1
0,61,27.1,1
0,61,27,1
0,61,27,1
0,61,27,1
0,61,27,1
0,61,26.9,1
0,61,26.8,1
0,61,26.9,1
0,61,26.9,1
0,61,27,1
0,59,27,1
0,70,31,1
0,70,31,1
0,70,31,1
85,70,31,0
73,69,31,0
35,69,31,0
30,69,31,0
27,69,30.9,1
27,70,30.9,1
26,70,30.9,1
26,69,30.9,1
26,70,30.9,1
25,70,30.9,1
25,70,30.9,1
27,70,31,1
100,69,31,0
100,70,31.1,0
100,69,31.1,0
100,69,31.1,0
100,69,31.2,0
100,69,31.3,0
100,69,31.3,0
100,68,31.3,0
97,68,31.3,0
94,68,31.3,0
